month,start,end,value
may,22,23,1160702
may,23,24,1034886
may,24,25,966509
may,25,26,1156691
may,26,27,1194054
may,27,28,1190877
may,28,29,1016149
may,29,30,1068529
may,30,31,993302
june,0,1,935590
june,1,2,1119046
june,2,3,1150676
june,3,4,1169570
june,4,5,1162795
june,5,6,1147372
june,6,7,1004244
june,7,8,921713
june,8,9,968196
june,9,10,1140341
june,10,11,1152976
june,11,12,1165844
june,12,13,1154469
june,13,14,999352
june,14,15,917310
june,15,16,1106649
june,16,17,1141077
june,17,18,1143086
june,18,19,1149995
june,19,20,1141059
june,20,21,1008542
june,21,22,939065
june,22,23,1129289
june,23,24,1161838
june,24,25,1158130
june,25,26,1159204
june,26,27,1146093
june,27,28,1009897
june,28,29,928706
june,29,30,1103970
july,0,1,1143862
july,1,2,1150514
july,2,3,1167512
july,3,4,1150024
july,4,5,1008307
july,5,6,934687
july,6,7,1106666
july,7,8,1143473
july,8,9,1154196
july,9,10,1167145
july,10,11,1151100
july,11,12,1006581
july,12,13,930137
july,13,14,941594
july,14,15,1126558
july,15,16,1166553
july,16,17,1187503
july,17,18,1182767
july,18,19,1030447
july,19,20,934780
july,20,21,1107315
july,21,22,1147785
july,22,23,1161849
july,23,24,1169049
july,24,25,1131515
july,25,26,993075
july,26,27,925852
july,27,28,1077760
july,28,29,1095700
july,29,30,1098378
july,30,31,1096670
august,0,1,1071402
august,1,2,951503
august,2,3,878472
august,3,4,996356
august,4,5,1016188
august,5,6,1022237
august,6,7,1027197
august,7,8,1024299
august,8,9,922671
august,9,10,872742
august,10,11,974684
august,11,12,988100
august,12,13,988993
august,13,14,981883
august,14,15,893681
august,15,16,894506
august,16,17,858478
august,17,18,991784
august,18,19,1022889
august,19,20,1031167
august,20,21,1038878
august,21,22,1042880
august,22,23,951127
august,23,24,896613
august,24,25,1078972
august,25,26,1123401
august,26,27,1122117
august,27,28,1129891
august,28,29,1114953
august,29,30,986620
august,30,31,921040
september,0,1,1103673
september,1,2,1143909
september,2,3,1149438
september,3,4,1157452
september,4,5,1149054
september,5,6,1010272
september,6,7,942892
september,7,8,1135215
september,8,9,1163859
september,9,10,1165798
september,10,11,1163321
september,11,12,1142868
september,12,13,1007248
september,13,14,938456
september,14,15,1129580
september,15,16,1160361
september,16,17,1166669
september,17,18,1166135
september,18,19,1155657
september,19,20,1013339
september,20,21,939303
september,21,22,1115789
september,22,23,1155790
september,23,24,1175290
september,24,25,1171100
september,25,26,1156096
september,26,27,1016313
september,27,28,946015
september,28,29,1140783
september,29,30,1171328
october,0,1,1169047
october,1,2,1166792
october,2,3,1151218
october,3,4,1013653
october,4,5,961694
october,5,6,1173529
october,6,7,1208669
october,7,8,1218388
october,8,9,1203597
october,9,10,1185802
october,10,11,1047404
october,11,12,1002951
october,12,13,1176808
october,13,14,1209924
october,14,15,1220987
october,15,16,1220765
october,16,17,1193122
october,17,18,1042063
october,18,19,960302
october,19,20,1151448
october,20,21,1213130
october,21,22,1255712
october,22,23,1282461
october,23,24,1267047
october,24,25,1115921
october,25,26,1086010
october,26,27,1232889
october,27,28,1282237
october,28,29,1278848
october,29,30,1258570
october,30,31,1225435
november,0,1,1072746
november,1,2,1049955
november,2,3,1272203
november,3,4,1340860
november,4,5,1408998
november,5,6,1451479
november,6,7,1437583
november,7,8,1274988
november,8,9,1210274
november,9,10,1327675
november,10,11,1246598
november,11,12,1396790
november,12,13,1432484
november,13,14,1422153
november,14,15,1275193
november,15,16,1234596
november,16,17,1453194
november,17,18,1484727
november,18,19,1514655
november,19,20,1511929
november,20,21,1462551
november,21,22,1294247
november,22,23,1202440
november,23,24,1404219
november,24,25,1459282
november,25,26,1453893
november,26,27,1454444
november,27,28,1426951
november,28,29,1294661
november,29,30,1287777
december,0,1,1549272
december,1,2,1633784
december,2,3,1684781
december,3,4,1689624
december,4,5,1666695
december,5,6,1545527
december,6,7,1523315
december,7,8,1683824
december,8,9,1754569
december,9,10,1734975
december,10,11,1669997
december,11,12,1641086
december,12,13,1489854
december,13,14,1474692
december,14,15,1633309
december,15,16,1607862
december,16,17,1632516
december,17,18,1536016
december,18,19,1490975
december,19,20,1394406
december,20,21,1387549
december,21,22,1538557
december,22,23,1550730
december,23,24,1469007
december,24,25,1314160
december,25,26,1499708
december,26,27,1508048
december,27,28,1570757
december,28,29,1792749
december,29,30,1770200
december,30,31,1721354
