month,start,end,value
july,12,13,1
july,13,14,2
july,14,15,0
july,15,16,0
july,16,17,0
july,17,18,0
july,18,19,1
july,19,20,1
july,20,21,0
july,21,22,0
july,22,23,0
july,23,24,0
july,24,25,0
july,25,26,1
july,26,27,1
july,27,28,0
july,28,29,0
july,29,30,0
july,30,31,0
august,0,1,0
august,1,2,1
august,2,3,1
august,3,4,0
august,4,5,0
august,5,6,0
august,6,7,0
august,7,8,0
august,8,9,1
august,9,10,1
august,10,11,0
august,11,12,0
august,12,13,0
august,13,14,0
august,14,15,2
august,15,16,1
august,16,17,1
august,17,18,0
august,18,19,0
august,19,20,0
august,20,21,0
august,21,22,0
august,22,23,1
august,23,24,1
august,24,25,0
august,25,26,0
august,26,27,0
august,27,28,0
august,28,29,0
august,29,30,1
august,30,31,1
september,0,1,0
september,1,2,0
september,2,3,0
september,3,4,0
september,4,5,0
september,5,6,1
september,6,7,1
september,7,8,0
september,8,9,0
september,9,10,0
september,10,11,0
september,11,12,0
september,12,13,1
september,13,14,1
september,14,15,0
september,15,16,0
september,16,17,0
september,17,18,0
september,18,19,0
september,19,20,1
september,20,21,1
september,21,22,0
september,22,23,0
september,23,24,0
september,24,25,0
september,25,26,0
september,26,27,1
september,27,28,1
september,28,29,0
september,29,30,0
october,0,1,0
october,1,2,0
october,2,3,0
october,3,4,1
october,4,5,1
october,5,6,0
october,6,7,0
october,7,8,0
october,8,9,0
october,9,10,0
october,10,11,1
october,11,12,1
october,12,13,0
october,13,14,0
october,14,15,0
october,15,16,0
october,16,17,0
october,17,18,1
october,18,19,1
october,19,20,0
october,20,21,0
october,21,22,0
october,22,23,0
october,23,24,0
october,24,25,1
october,25,26,1
october,26,27,0
october,27,28,0
october,28,29,0
october,29,30,0
october,30,31,0
november,0,1,1
november,1,2,1
november,2,3,0
november,3,4,0
november,4,5,0
november,5,6,0
november,6,7,0
november,7,8,1
november,8,9,1
november,9,10,0
november,10,11,2
november,11,12,0
november,12,13,0
november,13,14,0
november,14,15,1
november,15,16,1
november,16,17,0
november,17,18,0
november,18,19,0
november,19,20,0
november,20,21,0
november,21,22,1
november,22,23,1
november,23,24,0
november,24,25,0
november,25,26,0
november,26,27,0
november,27,28,0
november,28,29,1
november,29,30,1
december,0,1,0
december,1,2,0
december,2,3,0
december,3,4,0
december,4,5,0
december,5,6,1
december,6,7,1
december,7,8,0
december,8,9,0
december,9,10,0
december,10,11,0
december,11,12,0
december,12,13,1
december,13,14,1
december,14,15,0
december,15,16,0
december,16,17,0
december,17,18,0
december,18,19,0
december,19,20,1
december,20,21,1
december,21,22,0
december,22,23,0
december,23,24,0
december,24,25,2
december,25,26,0
december,26,27,1
december,27,28,1
december,28,29,0
december,29,30,0
december,30,31,0
